,High,Phat_High_upper,Phat_High_lower,Low,Phat_Low_upper,Phat_Low_lower,Close,Order_Placed,Order_Price_Short,Order_Price_Long,Order_Success_Short,Order_Success_Long,Trade_Price_Short,Trade_Price_Long,Transaction,Cash,Position,Balance
2016-05-30,40.096809655647476,41.458716294000595,38.83860067983968,39.66523988308991,40.66111148558339,38.421585675750485,39.86140823364258,False,38.78281996549186,40.66206108243025,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-05-31,40.60686289359834,41.3285041961332,38.9023278879517,39.62602079471915,40.75556905632005,38.611570115136544,40.17529296875,False,38.83860067983968,40.66111148558339,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-06-01,39.90064514955179,41.79335610918665,39.40106154236448,39.3121400411909,40.64729499985077,38.608289479225846,39.50830841064453,False,38.9023278879517,40.75556905632005,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-06-02,39.86141617839527,41.203449750302156,38.79665479038974,39.23367793017095,40.277482849228385,38.313830816082444,39.626014709472656,False,39.40106154236448,40.64729499985077,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-06-03,40.13604572039119,40.9674124735065,38.69433896788515,39.66523988308991,40.18380434382376,38.31105639229737,39.86140823364258,False,38.79665479038974,40.277482849228385,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-06-06,39.62601201789573,41.32807120222211,39.08382801492566,38.99827381231021,40.65852724145811,38.76973463128147,39.31214141845703,False,38.69433896788515,40.18380434382376,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-06-07,40.09681841783457,40.6930710569661,38.500016334494106,39.58678239091654,39.91801375166445,37.948118039258006,39.90065002441406,False,39.08382801492566,40.65852724145811,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-06-08,39.93988533023086,41.2460090736423,39.037151644377246,39.50831247836531,40.71993791713102,38.63115947934327,39.626014709472656,False,38.500016334494106,39.91801375166445,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-06-10,39.390622549702734,41.00380984947458,38.90931884340816,38.60594880565803,40.48196406682686,38.492259619587024,38.72364807128906,False,39.037151644377246,40.71993791713102,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-06-13,37.66433118006024,40.366937638397324,38.28926734167208,37.27199439693461,39.611745465195234,37.47568503922271,37.58586502075195,False,38.90931884340816,40.48196406682686,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-06-14,37.82126130726036,39.005901337688314,36.265668223646315,37.036587848575664,38.45369366004822,35.96693055553039,37.07582092285156,False,38.28926734167208,39.611745465195234,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-06-15,37.27199529539453,39.005283242519894,36.39894830414162,36.56578787142808,38.261545340882925,35.90646346708339,37.154293060302734,False,36.265668223646315,38.45369366004822,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-06-16,36.87965839058256,38.62197227276377,36.083699834045085,36.33038628397929,37.69089982145375,35.4062087776438,36.40885543823242,False,36.39894830414162,38.261545340882925,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-06-17,37.58587134294491,38.0074351645615,35.597384435800876,37.03659915551938,37.425475144582144,35.256603636902575,37.42893600463867,False,36.083699834045085,37.69089982145375,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-06-20,39.03751876622406,38.918354456251365,36.396762032033116,38.09590967471186,38.26510856422768,35.979694877773845,38.72364807128906,False,35.597384435800876,37.425475144582144,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-06-21,39.11597716032724,40.57078382353015,37.53416585153284,38.68440728563153,39.45573762362914,36.90103952226585,39.076744079589844,False,36.396762032033116,38.26510856422768,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-06-22,39.54755103542737,40.67638829507281,37.79441537461277,39.115978156449096,39.98018855820603,37.44030360052111,39.46908187866211,False,37.53416585153284,39.45573762362914,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-06-23,40.13604572039119,40.94481976774195,38.14213127192388,39.7829420907381,40.39233942643247,37.90137127911078,39.86140823364258,False,37.79441537461277,39.98018855820603,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-06-24,39.979122965864214,41.594286922883406,38.792321273119214,34.917977337402455,41.11168390873259,38.57213936821863,37.232765197753906,False,38.14213127192388,40.39233942643247,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-06-27,37.154291522670995,41.31604473129852,38.694368082968325,36.251918733049905,37.64561462096876,31.61717449197278,36.60502243041992,True,38.792321273119214,41.11168390873259,0,1,0.0,37.154291522670995,-37.154291522670995,-37.154291522670995,1,-0.5492690922510732
2016-06-28,36.44809043523469,39.20154581051798,35.12264260631827,35.54571457027379,39.86638109203614,33.50043431673558,36.36962127685547,False,38.694368082968325,37.64561462096876,0,0,0.0,0.0,0.0,-37.154291522670995,1,-0.7846702458155264
2016-06-29,36.95812664679577,38.21782703717282,34.385518955322034,36.565789833164004,38.52170176856345,32.6032986267566,36.84042739868164,False,35.12264260631827,39.86638109203614,0,0,0.0,0.0,0.0,-37.154291522670995,1,-0.3138641239893545
2016-06-30,37.46816369168609,38.961537459279775,35.17401615648303,36.91889158341131,39.961313966802265,33.64603697809535,37.154293060302734,False,34.385518955322034,38.52170176856345,0,0,0.0,0.0,0.0,-37.154291522670995,1,1.5376317392679084e-06
2016-07-04,38.25284266240033,39.39265405353007,35.70940323262801,37.703570476794525,39.81853634026923,34.20744467104436,37.782039642333984,False,35.17401615648303,39.961313966802265,0,0,0.0,0.0,0.0,-37.154291522670995,1,0.6277481196629893
